VAR_PK,PARAMETER
1431,"(Met) Wind speed 1 ,calibration Act."
634,"(Gri) Active power ,1sec."
13615,"(Trf) Winding Temp U ,1sec."
13616,"(Trf) Winding Temp V ,1sec."
13617,"(Trf) Winding Temp W ,1sec."
371,"(Gn) Bearing temp. DE ,1sec."
372,"(Gn) Bearing temp. NDE ,1sec."
366,"(Gn) Stator winding temp. U ,1sec."
10637,"(Gn) Stator winding temp. V ,1sec."
10638,"(Gn) Stator winding temp. W ,1sec."
13838,"(Gbx) Bearing DE intermediate shaft temp. ,1sec."
13839,"(Gbx) Bearing NDE intermediate shaft temp. ,1sec."
383,"(Gbx) Bearing DE temp. ,1sec."
384,"(Gbx) Bearing NDE temp. ,1sec."
10788,"(Gbx) Oil Inlet temp. ,1sec."
13662,"(Gbx) Oilsump temp. ,1sec."
379,"(Hy) Oil temperature ,1sec."
13979,(Cnv) Temp. GSC Inductance core
13980,(Cnv) Temp. GSC Inductance winding
13981,(Cnv) Temp. MSC Inductance 1
11551,"(Gbx) Oil pressure ,Act."
14483,"(Cnv) Coolant Inlet Pressure ,1sec."
14484,"(Cnv) Coolant Outlet Pressure ,1sec."
13977,(Cnv) Temp. Ambient Chopper
13974,(Cnv) Temp. Ambient Control zone
13973,(Cnv) Temp. Ambient Converter zone
13975,(Cnv) Temp. Ambient Grid cell
13976,(Cnv) Temp. Ambient Machine cell
13978,(Cnv) Temp. Ambient Outside
13968,(Cnv) Temp. Heatsink GSC 1
13969,(Cnv) Temp. Heatsink GSC 2
13970,(Cnv) Temp. Heatsink MSC 1
13971,(Cnv) Temp. Heatsink MSC 2
13972,(Cnv) Temp. Inlet Coolant Liquid
13709,"(Hy) HSS Brake 1 pressure ,1sec."
14642,"(Hy) HSS Brake 2 charging pressure ,1sec."
14186,"(Hy) HSS Brake 2 pressure ,1sec."
1280,"(Brk) Brake temp. B1 ,1sec."
10783,"(Brk) Brake temp. B2 ,1sec."
11318,"(Brk) Brake temp. Max ,1sec."
13730,"(Cl) Cool Cnv Heat Ex. In. temp ,30sec."
13725,"(Cl) Cool Cnv Heat Ex. Out. temp ,30sec."
13722,"(Cl) Cool Trf Heat Ex. In. temp. ,30sec."
13733,"(Cl) Coolant Pump Inlet Pressure ,1sec."
13737,"(Cl) Coolant Pump Outlet Pressure ,1sec."
2937,"(Met) Wind speed 1/2 ,calibration Act."
179,"(Met) Relative wind direction 1 ,1sec."
1169,"(Pt) Blade angle ,Act."
48,"(Rot) Rotor speed ,Act."
1129,"(Gri) Current L1 ,1sec."
1130,"(Gri) Current L2 ,1sec."
1131,"(Gri) Current L3 ,1sec."
12914,"(Gri) Frequency ,10min."
12918,"(Gri) Voltage L1 L2 L3 ,1sec."
959,"(Gbx) Gear speed ,Act."
